Time,Channel A
(ms),(V)

-5.00300806,-∞
-5.00172806,-∞
-5.00044806,-∞
-4.99916806,-∞
-4.99788806,-∞
-4.99660806,-∞
-4.99532806,-∞
-4.99404806,-∞
-4.99276806,-∞
-4.99148806,-∞
-4.99020806,-∞
-4.98892806,-∞
-4.98764806,-∞
-4.98636806,-∞
-4.98508806,-∞
-4.98380806,-∞
-4.98252806,-∞
-4.98124806,-∞
-4.97996806,-∞
-4.97868806,-∞
-4.97740806,-∞
-4.97612806,-∞
-4.97484806,-∞
-4.97356806,-∞
-4.97228806,-∞
-4.97100806,-∞
-4.96972806,-∞
-4.96844806,-∞
-4.96716806,-∞
-4.96588806,-∞
-4.96460806,-∞
-4.96332806,-∞
-4.96204806,-∞
-4.96076806,-∞
-4.95948806,-∞
-4.95820806,-∞
-4.95692806,-∞
-4.95564806,-∞
-4.95436806,-∞
-4.95308806,-∞
-4.95180806,-∞
-4.95052806,-∞
-4.94924806,-∞
-4.94796806,-∞
-4.94668806,-∞
-4.94540806,-∞
-4.94412806,-∞
-4.94284806,-∞
-4.94156806,-∞
-4.94028806,-∞
-4.93900806,-∞
-4.93772806,-∞
-4.93644806,-∞
-4.93516806,-∞
-4.93388806,-∞
-4.93260806,-∞
-4.93132806,-∞
-4.93004806,-∞
-4.92876806,-∞
-4.92748806,-∞
-4.92620806,-∞
-4.92492806,-∞
-4.92364806,-∞
-4.92236806,-∞
-4.92108806,-∞
-4.91980806,-∞
-4.91852806,-∞
-4.91724806,-∞
-4.91596806,-∞
-4.91468806,-∞
-4.91340806,-∞
-4.91212806,-∞
-4.91084806,-∞
-4.90956806,-∞
-4.90828806,-∞
-4.90700806,-∞
-4.90572806,-∞
-4.90444806,-∞
-4.90316806,-∞
-4.90188806,-∞
-4.90060806,-∞
-4.89932806,-∞
-4.89804806,-∞
-4.89676806,-∞
-4.89548806,-∞
-4.89420806,-∞
-4.89292806,-∞
-4.89164806,-∞
-4.89036806,-∞
-4.88908806,-∞
-4.88780806,-∞
-4.88652806,-∞
-4.88524806,-∞
-4.88396806,-∞
-4.88268806,-∞
-4.88140806,-∞
-4.88012806,-∞
-4.87884806,-∞
-4.87756806,-∞
-4.87628806,-∞
-4.87500806,-∞
-4.87372806,-∞
-4.87244806,-∞
-4.87116806,-∞
-4.86988806,-∞
-4.86860806,-∞
-4.86732806,-∞
-4.86604806,-∞
-4.86476806,-∞
-4.86348806,-∞
-4.86220806,-∞
-4.86092806,-∞
-4.85964806,-∞
-4.85836806,-∞
-4.85708806,-∞
-4.85580806,-∞
-4.85452806,-∞
-4.85324806,-∞
-4.85196806,-∞
-4.85068806,-∞
-4.84940806,-∞
-4.84812806,-∞
-4.84684806,-∞
-4.84556806,-∞
-4.84428806,-∞
-4.84300806,-∞
-4.84172806,-∞
-4.84044806,-∞
-4.83916806,-∞
-4.83788806,-∞
-4.83660806,-∞
-4.83532806,-∞
-4.83404806,-∞
-4.83276806,-∞
-4.83148806,-∞
-4.83020806,-∞
-4.82892806,-∞
-4.82764806,-∞
-4.82636806,-∞
-4.82508806,-∞
