Time,Channel A
(ms),(V)

-5.00249583,-4.90066242
-5.00121583,-4.90066242
-4.99993583,-4.81154823
-4.99865583,-4.81154823
-4.99737583,-4.81154823
-4.99609583,-4.90066242
-4.99481583,-4.81154823
-4.99353583,-4.90066242
-4.99225583,-4.81154823
-4.99097583,-4.81154823
-4.98969583,-4.81154823
-4.98841583,-4.81154823
-4.98713583,-4.81154823
-4.98585583,-4.90066242
-4.98457583,-4.90066242
-4.98329583,-4.90066242
-4.98201583,-4.81154823
-4.98073583,-4.81154823
-4.97945583,-4.90066242
-4.97817583,-4.81154823
-4.97689583,-4.81154823
-4.97561583,-4.81154823
-4.97433583,-4.72243404
-4.97305583,-4.81154823
-4.97177583,-4.81154823
-4.97049583,-4.72243404
-4.96921583,-4.81154823
-4.96793583,-4.72243404
-4.96665583,-4.81154823
-4.96537583,-4.72243404
-4.96409583,-4.72243404
-4.96281583,-4.81154823
-4.96153583,-4.72243404
-4.96025583,-4.72243404
-4.95897583,-4.72243404
-4.95769583,-4.72243404
-4.95641583,-4.81154823
-4.95513583,-4.72243404
-4.95385583,-4.81154823
-4.95257583,-4.72243404
-4.95129583,-4.81154823
-4.95001583,-4.81154823
-4.94873583,-4.81154823
-4.94745583,-4.72243404
-4.94617583,-4.81154823
-4.94489583,-4.81154823
-4.94361583,-4.81154823
-4.94233583,-4.72243404
-4.94105583,-4.72243404
-4.93977583,-4.72243404
-4.93849583,-4.72243404
-4.93721583,-4.72243404
-4.93593583,-4.72243404
-4.93465583,-4.81154823
-4.93337583,-4.81154823
-4.93209583,-4.72243404
-4.93081583,-4.72243404
-4.92953583,-4.72243404
-4.92825583,-4.72243404
-4.92697583,-4.72243404
-4.92569583,-4.72243404
-4.92441583,-4.72243404
-4.92313583,-4.72243404
-4.92185583,-4.72243404
-4.92057583,-4.72243404
-4.91929583,-4.72243404
-4.91801583,-4.72243404
-4.91673583,-4.72243404
-4.91545583,-4.72243404
-4.91417583,-4.81154823
-4.91289583,-4.72243404
-4.91161583,-4.72243404
-4.91033583,-4.81154823
-4.90905583,-4.72243404
-4.90777583,-4.81154823
-4.90649583,-4.72243404
-4.90521583,-4.72243404
-4.90393583,-4.72243404
-4.90265583,-4.72243404
-4.90137583,-4.72243404
-4.90009583,-4.72243404
-4.89881583,-4.72243404
-4.89753583,-4.72243404
-4.89625583,-4.72243404
-4.89497583,-4.81154823
-4.89369583,-4.72243404
-4.89241583,-4.81154823
-4.89113583,-4.81154823
-4.88985583,-4.72243404
-4.88857583,-4.81154823
-4.88729583,-4.81154823
-4.88601583,-4.81154823
-4.88473583,-4.81154823
-4.88345583,-4.81154823
-4.88217583,-4.81154823
-4.88089583,-4.90066242
-4.87961583,-4.81154823
-4.87833583,-4.81154823
-4.87705583,-4.81154823
-4.87577583,-4.90066242
-4.87449583,-4.90066242
-4.87321583,-4.90066242
-4.87193583,-4.81154823
-4.87065583,-4.81154823
-4.86937583,-4.81154823
-4.86809583,-4.72243404
-4.86681583,-4.72243404
-4.86553583,-4.81154823
-4.86425583,-4.81154823
-4.86297583,-4.72243404
