Time,Channel A
(ms),(V)

-5.00278408,-0.80141604
-5.00150408,-0.80141604
-5.00022408,-0.80141604
-4.99894408,-0.71230203
-4.99766408,-0.80141604
-4.99638408,-0.80141604
-4.99510408,-0.80141604
-4.99382408,-0.80141604
-4.99254408,-0.80141604
-4.99126408,-0.80141604
-4.98998408,-0.80141604
-4.98870408,-0.80141604
-4.98742408,-0.80141604
-4.98614408,-0.80141604
-4.98486408,-0.80141604
-4.98358408,-0.80141604
-4.98230408,-0.80141604
-4.98102408,-0.80141604
-4.97974408,-0.80141604
-4.97846408,-0.80141604
-4.97718408,-0.80141604
-4.97590408,-0.80141604
-4.97462408,-0.80141604
-4.97334408,-0.71230203
-4.97206408,-0.71230203
-4.97078408,-0.71230203
-4.96950408,-0.80141604
-4.96822408,-0.80141604
-4.96694408,-0.71230203
-4.96566408,-0.80141604
-4.96438408,-0.80141604
-4.96310408,-0.80141604
-4.96182408,-0.80141604
-4.96054408,-0.80141604
-4.95926408,-0.80141604
-4.95798408,-0.80141604
-4.95670408,-0.80141604
-4.95542408,-0.80141604
-4.95414408,-0.71230203
-4.95286408,-0.80141604
-4.95158408,-0.80141604
-4.95030408,-0.80141604
-4.94902408,-0.80141604
-4.94774408,-0.80141604
-4.94646408,-0.80141604
-4.94518408,-0.80141604
-4.94390408,-0.80141604
-4.94262408,-0.71230203
-4.94134408,-0.80141604
-4.94006408,-0.71230203
-4.93878408,-0.71230203
-4.93750408,-0.80141604
-4.93622408,-0.71230203
-4.93494408,-0.71230203
-4.93366408,-0.71230203
-4.93238408,-0.80141604
-4.93110408,-0.80141604
-4.92982408,-0.80141604
-4.92854408,-0.80141604
-4.92726408,-0.80141604
-4.92598408,-0.80141604
-4.92470408,-0.71230203
-4.92342408,-0.80141604
-4.92214408,-0.71230203
-4.92086408,-0.71230203
-4.91958408,-0.71230203
-4.91830408,-0.71230203
-4.91702408,-0.71230203
-4.91574408,-0.71230203
-4.91446408,-0.71230203
-4.91318408,-0.71230203
-4.91190408,-0.80141604
-4.91062408,-0.80141604
-4.90934408,-0.80141604
-4.90806408,-0.71230203
-4.90678408,-0.80141604
-4.90550408,-0.80141604
-4.90422408,-0.80141604
-4.90294408,-0.80141604
-4.90166408,-0.71230203
-4.90038408,-0.80141604
-4.89910408,-0.80141604
-4.89782408,-0.71230203
-4.89654408,-0.71230203
-4.89526408,-0.71230203
-4.89398408,-0.71230203
-4.89270408,-0.71230203
-4.89142408,-0.80141604
-4.89014408,-0.71230203
-4.88886408,-0.71230203
-4.88758408,-0.80141604
-4.88630408,-0.71230203
-4.88502408,-0.71230203
-4.88374408,-0.71230203
-4.88246408,-0.71230203
-4.88118408,-0.71230203
-4.87990408,-0.71230203
-4.87862408,-0.71230203
-4.87734408,-0.71230203
-4.87606408,-0.71230203
-4.87478408,-0.71230203
-4.87350408,-0.71230203
-4.87222408,-0.71230203
-4.87094408,-0.80141604
-4.86966408,-0.80141604
-4.86838408,-0.80141604
-4.86710408,-0.80141604
-4.86582408,-0.80141604
-4.86454408,-0.80141604
-4.86326408,-0.71230203
