Time,Channel A
(ms),(V)

-5.00225695,-∞
-5.00097695,-∞
-4.99969695,-∞
-4.99841695,-∞
-4.99713695,-∞
-4.99585695,-∞
-4.99457695,-∞
-4.99329695,-∞
-4.99201695,-∞
-4.99073695,-∞
-4.98945695,-∞
-4.98817695,-∞
-4.98689695,-∞
-4.98561695,-∞
-4.98433695,-∞
-4.98305695,-∞
-4.98177695,-∞
-4.98049695,-∞
-4.97921695,-∞
-4.97793695,-∞
-4.97665695,-∞
-4.97537695,-∞
-4.97409695,-∞
-4.97281695,-9.35666943
-4.97153695,-8.46552944
-4.97025695,-7.57438898
-4.96897695,-6.68324852
-4.96769695,-5.79210806
-4.96641695,-4.98977613
-4.96513695,-4.00952196
-4.96385695,-3.20749545
-4.96257695,-2.31635475
-4.96129695,-1.42521441
-4.96001695,-0.44495988
-4.95873695,0.35706657
-4.95745695,1.33732104
-4.95617695,2.22846150
-4.95489695,2.58491778
-4.95361695,2.67403173
-4.95233695,2.76314592
-4.95105695,2.76314592
-4.94977695,2.85225987
-4.94849695,2.85225987
-4.94721695,2.85225987
-4.94593695,2.85225987
-4.94465695,2.85225987
-4.94337695,2.94137383
-4.94209695,2.94137383
-4.94081695,2.94137383
-4.93953695,2.94137383
-4.93825695,2.94137383
-4.93697695,2.94137383
-4.93569695,2.94137383
-4.93441695,2.94137383
-4.93313695,2.94137383
-4.93185695,2.94137383
-4.93057695,2.94137383
-4.92929695,2.85225987
-4.92801695,2.94137383
-4.92673695,2.94137383
-4.92545695,2.94137383
-4.92417695,2.94137383
-4.92289695,2.94137383
-4.92161695,2.94137383
-4.92033695,2.94137383
-4.91905695,2.94137383
-4.91777695,2.94137383
-4.91649695,2.94137383
-4.91521695,2.94137383
-4.91393695,2.94137383
-4.91265695,2.94137383
-4.91137695,2.85225987
-4.91009695,2.94137383
-4.90881695,2.94137383
-4.90753695,2.94137383
-4.90625695,2.94137383
-4.90497695,2.94137383
-4.90369695,2.94137383
-4.90241695,2.94137383
-4.90113695,2.94137383
-4.89985695,2.94137383
-4.89857695,2.94137383
-4.89729695,2.94137383
-4.89601695,2.94137383
-4.89473695,2.85225987
-4.89345695,2.85225987
-4.89217695,2.76314592
-4.89089695,2.67403173
-4.88961695,2.58491778
-4.88833695,2.49580359
-4.88705695,2.49580359
-4.88577695,2.40668964
-4.88449695,2.40668964
-4.88321695,2.22846150
-4.88193695,2.22846150
-4.88065695,1.96111941
-4.87937695,1.78289127
-4.87809695,1.51554918
-4.87681695,1.51554918
-4.87553695,1.42643511
-4.87425695,1.33732104
-4.87297695,1.24820709
-4.87169695,1.15909302
-4.87041695,0.89175087
-4.86913695,0.53529465
-4.86785695,0.26795250
-4.86657695,0.08972442
-4.86529695,-0.08850367
-4.86401695,0.00061037
-4.86273695,-0.08850367
-4.86145695,-0.08850367
-4.86017695,-0.08850367
-4.85889695,-0.17761773
-4.85761695,-0.35584581
-4.85633695,-0.62318796
-4.85505695,-0.89053011
-4.85377695,-1.69255650
-4.85249695,-2.49458289
-4.85121695,-3.29660940
-4.84993695,-4.09863567
