Time,Channel A
(ms),(V)

-5.00298105,2.13934755
-5.00170105,2.13934755
-5.00042105,2.05023336
-4.99914105,1.96111941
-4.99786105,1.87200534
-4.99658105,1.78289127
-4.99530105,1.78289127
-4.99402105,1.69377732
-4.99274105,1.69377732
-4.99146105,1.69377732
-4.99018105,1.69377732
-4.98890105,1.69377732
-4.98762105,1.69377732
-4.98634105,1.69377732
-4.98506105,1.78289127
-4.98378105,1.78289127
-4.98250105,1.78289127
-4.98122105,1.87200534
-4.97994105,1.87200534
-4.97866105,1.87200534
-4.97738105,1.96111941
-4.97610105,1.87200534
-4.97482105,1.87200534
-4.97354105,1.87200534
-4.97226105,1.87200534
-4.97098105,1.78289127
-4.96970105,1.78289127
-4.96842105,1.69377732
-4.96714105,1.69377732
-4.96586105,1.51554918
-4.96458105,1.42643511
-4.96330105,1.42643511
-4.96202105,1.42643511
-4.96074105,1.42643511
-4.95946105,1.51554918
-4.95818105,1.60466325
-4.95690105,1.69377732
-4.95562105,1.69377732
-4.95434105,1.78289127
-4.95306105,1.78289127
-4.95178105,1.78289127
-4.95050105,1.78289127
-4.94922105,1.78289127
-4.94794105,1.78289127
-4.94666105,1.78289127
-4.94538105,1.78289127
-4.94410105,1.87200534
-4.94282105,1.87200534
-4.94154105,1.87200534
-4.94026105,1.87200534
-4.93898105,1.87200534
-4.93770105,1.87200534
-4.93642105,1.78289127
-4.93514105,1.69377732
-4.93386105,1.60466325
-4.93258105,1.51554918
-4.93130105,1.60466325
-4.93002105,1.69377732
-4.92874105,1.78289127
-4.92746105,1.87200534
-4.92618105,2.05023336
-4.92490105,2.05023336
-4.92362105,2.05023336
-4.92234105,2.05023336
-4.92106105,2.05023336
-4.91978105,2.05023336
-4.91850105,2.13934755
-4.91722105,2.22846150
-4.91594105,2.31757569
-4.91466105,2.40668964
-4.91338105,2.40668964
-4.91210105,2.40668964
-4.91082105,2.49580359
-4.90954105,2.49580359
-4.90826105,2.49580359
-4.90698105,2.49580359
-4.90570105,2.58491778
-4.90442105,2.49580359
-4.90314105,2.58491778
-4.90186105,2.67403173
-4.90058105,2.58491778
-4.89930105,2.58491778
-4.89802105,2.67403173
-4.89674105,2.67403173
-4.89546105,2.67403173
-4.89418105,2.58491778
-4.89290105,2.49580359
-4.89162105,2.40668964
-4.89034105,2.40668964
-4.88906105,2.40668964
-4.88778105,2.40668964
-4.88650105,2.31757569
-4.88522105,2.31757569
-4.88394105,2.31757569
-4.88266105,2.31757569
-4.88138105,2.31757569
-4.88010105,2.22846150
-4.87882105,2.22846150
-4.87754105,2.22846150
-4.87626105,2.22846150
-4.87498105,2.13934755
-4.87370105,2.22846150
-4.87242105,2.22846150
-4.87114105,2.22846150
-4.86986105,2.22846150
-4.86858105,2.22846150
-4.86730105,2.22846150
-4.86602105,2.22846150
-4.86474105,2.22846150
-4.86346105,2.22846150
-4.86218105,2.22846150
-4.86090105,2.22846150
-4.85962105,2.22846150
-4.85834105,2.13934755
-4.85706105,2.22846150
-4.85578105,2.22846150
-4.85450105,2.22846150
-4.85322105,2.22846150
