Time,Channel A
(ms),(V)

-5.00284880,2.94137383
-5.00156880,2.94137383
-5.00028880,2.94137383
-4.99900880,2.94137383
-4.99772880,2.94137383
-4.99644880,2.94137383
-4.99516880,2.94137383
-4.99388880,2.94137383
-4.99260880,2.94137383
-4.99132880,2.94137383
-4.99004880,2.94137383
-4.98876880,2.94137383
-4.98748880,2.94137383
-4.98620880,2.94137383
-4.98492880,2.94137383
-4.98364880,2.94137383
-4.98236880,2.94137383
-4.98108880,2.94137383
-4.97980880,3.03048801
-4.97852880,3.03048801
-4.97724880,2.94137383
-4.97596880,3.03048801
-4.97468880,2.94137383
-4.97340880,2.94137383
-4.97212880,2.94137383
-4.97084880,2.94137383
-4.96956880,2.94137383
-4.96828880,2.94137383
-4.96700880,2.94137383
-4.96572880,2.94137383
-4.96444880,2.94137383
-4.96316880,2.94137383
-4.96188880,2.94137383
-4.96060880,2.94137383
-4.95932880,3.03048801
-4.95804880,2.94137383
-4.95676880,2.94137383
-4.95548880,2.94137383
-4.95420880,2.94137383
-4.95292880,2.94137383
-4.95164880,2.94137383
-4.95036880,2.94137383
-4.94908880,2.94137383
-4.94780880,2.94137383
-4.94652880,2.94137383
-4.94524880,2.94137383
-4.94396880,2.94137383
-4.94268880,3.03048801
-4.94140880,2.94137383
-4.94012880,2.94137383
-4.93884880,3.03048801
-4.93756880,2.94137383
-4.93628880,2.94137383
-4.93500880,2.94137383
-4.93372880,2.94137383
-4.93244880,2.94137383
-4.93116880,2.94137383
-4.92988880,2.94137383
-4.92860880,2.94137383
-4.92732880,2.94137383
-4.92604880,2.94137383
-4.92476880,2.94137383
-4.92348880,3.03048801
-4.92220880,3.03048801
-4.92092880,2.94137383
-4.91964880,3.03048801
-4.91836880,2.94137383
-4.91708880,2.94137383
-4.91580880,2.94137383
-4.91452880,2.94137383
-4.91324880,2.94137383
-4.91196880,2.94137383
-4.91068880,2.94137383
-4.90940880,2.94137383
-4.90812880,2.94137383
-4.90684880,2.94137383
-4.90556880,3.03048801
-4.90428880,2.94137383
-4.90300880,3.03048801
-4.90172880,2.94137383
-4.90044880,3.03048801
-4.89916880,2.94137383
-4.89788880,2.94137383
-4.89660880,2.94137383
-4.89532880,2.85225987
-4.89404880,2.94137383
-4.89276880,2.94137383
-4.89148880,2.94137383
-4.89020880,2.94137383
-4.88892880,2.94137383
-4.88764880,2.94137383
-4.88636880,2.94137383
-4.88508880,3.03048801
-4.88380880,2.94137383
-4.88252880,3.03048801
-4.88124880,2.94137383
-4.87996880,2.94137383
-4.87868880,2.94137383
-4.87740880,2.94137383
-4.87612880,2.94137383
-4.87484880,2.94137383
-4.87356880,2.94137383
-4.87228880,2.94137383
-4.87100880,2.94137383
-4.86972880,2.94137383
-4.86844880,3.03048801
-4.86716880,3.03048801
-4.86588880,2.94137383
-4.86460880,3.03048801
-4.86332880,2.94137383
-4.86204880,2.94137383
-4.86076880,2.94137383
-4.85948880,2.94137383
-4.85820880,2.94137383
-4.85692880,2.94137383
-4.85564880,2.94137383
-4.85436880,2.94137383
-4.85308880,2.94137383
