Time,Channel A
(ms),(V)

-5.00257313,-∞
-5.00129313,-∞
-5.00001313,-∞
-4.99873313,-∞
-4.99745313,-∞
-4.99617313,-∞
-4.99489313,-∞
-4.99361313,-∞
-4.99233313,-∞
-4.99105313,-∞
-4.98977313,-∞
-4.98849313,-∞
-4.98721313,-∞
-4.98593313,-∞
-4.98465313,-∞
-4.98337313,-∞
-4.98209313,-∞
-4.98081313,-∞
-4.97953313,-∞
-4.97825313,-∞
-4.97697313,-∞
-4.97569313,-∞
-4.97441313,-∞
-4.97313313,-∞
-4.97185313,-∞
-4.97057313,-∞
-4.96929313,-∞
-4.96801313,-∞
-4.96673313,-∞
-4.96545313,-∞
-4.96417313,-∞
-4.96289313,-∞
-4.96161313,-∞
-4.96033313,-∞
-4.95905313,-∞
-4.95777313,-∞
-4.95649313,-∞
-4.95521313,-∞
-4.95393313,-∞
-4.95265313,-∞
-4.95137313,-∞
-4.95009313,-∞
-4.94881313,-∞
-4.94753313,-∞
-4.94625313,-∞
-4.94497313,-∞
-4.94369313,-∞
-4.94241313,-∞
-4.94113313,-∞
-4.93985313,-∞
-4.93857313,-∞
-4.93729313,-∞
-4.93601313,-∞
-4.93473313,-∞
-4.93345313,-∞
-4.93217313,-∞
-4.93089313,-∞
-4.92961313,-∞
-4.92833313,-∞
-4.92705313,-∞
-4.92577313,-∞
-4.92449313,-∞
-4.92321313,-∞
-4.92193313,-∞
-4.92065313,-∞
-4.91937313,-∞
-4.91809313,-∞
-4.91681313,-∞
-4.91553313,-∞
-4.91425313,-∞
-4.91297313,-∞
-4.91169313,-∞
-4.91041313,-∞
-4.90913313,-∞
-4.90785313,-∞
-4.90657313,-∞
-4.90529313,-∞
-4.90401313,-∞
-4.90273313,-∞
-4.90145313,-∞
-4.90017313,-∞
-4.89889313,-∞
-4.89761313,-∞
-4.89633313,-∞
-4.89505313,-∞
-4.89377313,-∞
-4.89249313,-∞
-4.89121313,-∞
-4.88993313,-∞
-4.88865313,-∞
-4.88737313,-∞
-4.88609313,-∞
-4.88481313,-∞
-4.88353313,-∞
-4.88225313,-∞
-4.88097313,-∞
-4.87969313,-∞
-4.87841313,-∞
-4.87713313,-∞
-4.87585313,-∞
-4.87457313,-∞
-4.87329313,-∞
-4.87201313,-∞
-4.87073313,-∞
-4.86945313,-∞
-4.86817313,-∞
-4.86689313,-∞
-4.86561313,-∞
-4.86433313,-∞
-4.86305313,-∞
-4.86177313,-∞
-4.86049313,-∞
-4.85921313,-∞
-4.85793313,-∞
-4.85665313,-∞
-4.85537313,-∞
-4.85409313,-∞
-4.85281313,-∞
-4.85153313,-∞
-4.85025313,-∞
-4.84897313,-∞
-4.84769313,-∞
-4.84641313,-∞
-4.84513313,-∞
-4.84385313,-∞
-4.84257313,-∞
-4.84129313,-∞
-4.84001313,-∞
-4.83873313,-∞
-4.83745313,-∞
-4.83617313,-∞
-4.83489313,-∞
-4.83361313,-∞
-4.83233313,-∞
-4.83105313,-∞
-4.82977313,-∞
-4.82849313,-∞
-4.82721313,-∞
-4.82593313,-∞
-4.82465313,-∞
