Time,Channel A
(ms),(V)

-5.00310119,-∞
-5.00182119,-∞
-5.00054119,-∞
-4.99926119,-∞
-4.99798119,-∞
-4.99670119,-∞
-4.99542119,-∞
-4.99414119,-∞
-4.99286119,-∞
-4.99158119,-∞
-4.99030119,-∞
-4.98902119,-∞
-4.98774119,-∞
-4.98646119,-∞
-4.98518119,-∞
-4.98390119,-∞
-4.98262119,-∞
-4.98134119,-∞
-4.98006119,-∞
-4.97878119,-∞
-4.97750119,-∞
-4.97622119,-∞
-4.97494119,-∞
-4.97366119,-∞
-4.97238119,-∞
-4.97110119,-∞
-4.96982119,-∞
-4.96854119,-∞
-4.96726119,-∞
-4.96598119,-∞
-4.96470119,-∞
-4.96342119,-∞
-4.96214119,-∞
-4.96086119,-∞
-4.95958119,-∞
-4.95830119,-∞
-4.95702119,-∞
-4.95574119,-∞
-4.95446119,-∞
-4.95318119,-∞
-4.95190119,-∞
-4.95062119,-∞
-4.94934119,-∞
-4.94806119,-∞
-4.94678119,-∞
-4.94550119,-∞
-4.94422119,-∞
-4.94294119,-∞
-4.94166119,-∞
-4.94038119,-∞
-4.93910119,-∞
-4.93782119,-∞
-4.93654119,-∞
-4.93526119,-∞
-4.93398119,-∞
-4.93270119,-∞
-4.93142119,-∞
-4.93014119,-∞
-4.92886119,-∞
-4.92758119,-∞
-4.92630119,-∞
-4.92502119,-∞
-4.92374119,-∞
-4.92246119,-∞
-4.92118119,-∞
-4.91990119,-∞
-4.91862119,-∞
-4.91734119,-∞
-4.91606119,-∞
-4.91478119,-∞
-4.91350119,-∞
-4.91222119,-∞
-4.91094119,-∞
-4.90966119,-∞
-4.90838119,-∞
-4.90710119,-∞
-4.90582119,-∞
-4.90454119,-∞
-4.90326119,-∞
-4.90198119,-∞
-4.90070119,-∞
-4.89942119,-∞
-4.89814119,-∞
-4.89686119,-∞
-4.89558119,-∞
-4.89430119,-∞
-4.89302119,-∞
-4.89174119,-∞
-4.89046119,-∞
-4.88918119,-∞
-4.88790119,-∞
-4.88662119,-∞
-4.88534119,-∞
-4.88406119,-∞
-4.88278119,-∞
-4.88150119,-∞
-4.88022119,-∞
-4.87894119,-∞
-4.87766119,-∞
-4.87638119,-∞
-4.87510119,-∞
-4.87382119,-∞
-4.87254119,-∞
-4.87126119,-∞
-4.86998119,-∞
-4.86870119,-∞
-4.86742119,-∞
-4.86614119,-∞
-4.86486119,-∞
-4.86358119,-∞
-4.86230119,-∞
-4.86102119,-∞
-4.85974119,-∞
-4.85846119,-∞
-4.85718119,-∞
-4.85590119,-∞
-4.85462119,-∞
-4.85334119,-∞
-4.85206119,-∞
-4.85078119,-∞
-4.84950119,-∞
-4.84822119,-∞
-4.84694119,-∞
-4.84566119,-∞
-4.84438119,-∞
-4.84310119,-∞
-4.84182119,-∞
-4.84054119,-∞
-4.83926119,-∞
-4.83798119,-∞
-4.83670119,-∞
-4.83542119,-∞
-4.83414119,-∞
-4.83286119,-∞
-4.83158119,-∞
-4.83030119,-∞
-4.82902119,-∞
-4.82774119,-∞
-4.82646119,-∞
-4.82518119,-∞
