Time,Channel A
(ms),(V)

-5.00279106,2.94137383
-5.00151106,3.03048801
-5.00023106,2.94137383
-4.99895106,3.03048801
-4.99767106,3.03048801
-4.99639106,2.94137383
-4.99511106,2.94137383
-4.99383106,2.94137383
-4.99255106,2.94137383
-4.99127106,2.94137383
-4.98999106,2.94137383
-4.98871106,2.94137383
-4.98743106,2.94137383
-4.98615106,2.94137383
-4.98487106,2.94137383
-4.98359106,3.03048801
-4.98231106,2.94137383
-4.98103106,3.03048801
-4.97975106,3.03048801
-4.97847106,2.94137383
-4.97719106,3.03048801
-4.97591106,3.03048801
-4.97463106,2.94137383
-4.97335106,2.94137383
-4.97207106,2.94137383
-4.97079106,2.94137383
-4.96951106,2.94137383
-4.96823106,2.94137383
-4.96695106,2.94137383
-4.96567106,2.94137383
-4.96439106,2.94137383
-4.96311106,2.94137383
-4.96183106,2.94137383
-4.96055106,2.94137383
-4.95927106,3.03048801
-4.95799106,2.94137383
-4.95671106,2.94137383
-4.95543106,2.94137383
-4.95415106,2.94137383
-4.95287106,2.94137383
-4.95159106,2.94137383
-4.95031106,2.94137383
-4.94903106,2.94137383
-4.94775106,2.94137383
-4.94647106,2.94137383
-4.94519106,2.94137383
-4.94391106,3.03048801
-4.94263106,3.03048801
-4.94135106,2.94137383
-4.94007106,2.94137383
-4.93879106,2.94137383
-4.93751106,2.94137383
-4.93623106,2.94137383
-4.93495106,2.94137383
-4.93367106,2.94137383
-4.93239106,2.94137383
-4.93111106,2.94137383
-4.92983106,2.94137383
-4.92855106,2.94137383
-4.92727106,2.94137383
-4.92599106,2.94137383
-4.92471106,3.03048801
-4.92343106,2.94137383
-4.92215106,2.94137383
-4.92087106,3.03048801
-4.91959106,2.94137383
-4.91831106,2.94137383
-4.91703106,2.94137383
-4.91575106,2.94137383
-4.91447106,2.94137383
-4.91319106,2.94137383
-4.91191106,2.94137383
-4.91063106,2.94137383
-4.90935106,2.94137383
-4.90807106,2.94137383
-4.90679106,2.94137383
-4.90551106,2.94137383
-4.90423106,2.94137383
-4.90295106,2.94137383
-4.90167106,2.94137383
-4.90039106,2.94137383
-4.89911106,2.94137383
-4.89783106,2.94137383
-4.89655106,2.94137383
-4.89527106,2.94137383
-4.89399106,2.94137383
-4.89271106,2.94137383
-4.89143106,2.94137383
-4.89015106,2.94137383
-4.88887106,3.03048801
-4.88759106,2.94137383
-4.88631106,2.94137383
-4.88503106,3.03048801
-4.88375106,2.94137383
-4.88247106,2.94137383
-4.88119106,2.94137383
-4.87991106,2.94137383
-4.87863106,2.94137383
-4.87735106,2.94137383
-4.87607106,2.94137383
-4.87479106,2.94137383
-4.87351106,2.94137383
-4.87223106,2.94137383
-4.87095106,2.94137383
-4.86967106,2.94137383
-4.86839106,2.94137383
-4.86711106,3.03048801
-4.86583106,2.94137383
-4.86455106,2.94137383
-4.86327106,2.94137383
-4.86199106,2.94137383
-4.86071106,2.94137383
-4.85943106,2.94137383
-4.85815106,2.94137383
-4.85687106,2.94137383
-4.85559106,2.94137383
-4.85431106,2.94137383
-4.85303106,2.94137383
