Time,Channel A
(ms),(V)

-5.00346581,-0.62318796
-5.00218581,-0.62318796
-5.00090581,-0.62318796
-4.99962581,-0.62318796
-4.99834581,-0.62318796
-4.99706581,-0.62318796
-4.99578581,-0.62318796
-4.99450581,-0.71230203
-4.99322581,-0.71230203
-4.99194581,-0.71230203
-4.99066581,-0.71230203
-4.98938581,-0.71230203
-4.98810581,-0.71230203
-4.98682581,-0.71230203
-4.98554581,-0.71230203
-4.98426581,-0.62318796
-4.98298581,-0.71230203
-4.98170581,-0.62318796
-4.98042581,-0.62318796
-4.97914581,-0.62318796
-4.97786581,-0.62318796
-4.97658581,-0.71230203
-4.97530581,-0.71230203
-4.97402581,-0.71230203
-4.97274581,-0.71230203
-4.97146581,-0.71230203
-4.97018581,-0.71230203
-4.96890581,-0.71230203
-4.96762581,-0.71230203
-4.96634581,-0.71230203
-4.96506581,-0.71230203
-4.96378581,-0.62318796
-4.96250581,-0.71230203
-4.96122581,-0.62318796
-4.95994581,-0.62318796
-4.95866581,-0.71230203
-4.95738581,-0.62318796
-4.95610581,-0.71230203
-4.95482581,-0.71230203
-4.95354581,-0.71230203
-4.95226581,-0.71230203
-4.95098581,-0.71230203
-4.94970581,-0.71230203
-4.94842581,-0.71230203
-4.94714581,-0.80141604
-4.94586581,-0.71230203
-4.94458581,-0.71230203
-4.94330581,-0.71230203
-4.94202581,-0.71230203
-4.94074581,-0.71230203
-4.93946581,-0.71230203
-4.93818581,-0.71230203
-4.93690581,-0.71230203
-4.93562581,-0.71230203
-4.93434581,-0.71230203
-4.93306581,-0.71230203
-4.93178581,-0.71230203
-4.93050581,-0.71230203
-4.92922581,-0.71230203
-4.92794581,-0.71230203
-4.92666581,-0.71230203
-4.92538581,-0.71230203
-4.92410581,-0.71230203
-4.92282581,-0.71230203
-4.92154581,-0.71230203
-4.92026581,-0.71230203
-4.91898581,-0.71230203
-4.91770581,-0.71230203
-4.91642581,-0.71230203
-4.91514581,-0.71230203
-4.91386581,-0.71230203
-4.91258581,-0.71230203
-4.91130581,-0.71230203
-4.91002581,-0.71230203
-4.90874581,-0.71230203
-4.90746581,-0.71230203
-4.90618581,-0.71230203
-4.90490581,-0.71230203
-4.90362581,-0.71230203
-4.90234581,-0.71230203
-4.90106581,-0.71230203
-4.89978581,-0.71230203
-4.89850581,-0.71230203
-4.89722581,-0.71230203
-4.89594581,-0.71230203
-4.89466581,-0.71230203
-4.89338581,-0.71230203
-4.89210581,-0.71230203
-4.89082581,-0.71230203
-4.88954581,-0.71230203
-4.88826581,-0.62318796
-4.88698581,-0.71230203
-4.88570581,-0.71230203
-4.88442581,-0.71230203
-4.88314581,-0.62318796
-4.88186581,-0.71230203
-4.88058581,-0.71230203
-4.87930581,-0.71230203
-4.87802581,-0.71230203
-4.87674581,-0.71230203
-4.87546581,-0.71230203
-4.87418581,-0.71230203
-4.87290581,-0.71230203
-4.87162581,-0.71230203
-4.87034581,-0.71230203
-4.86906581,-0.71230203
-4.86778581,-0.71230203
-4.86650581,-0.71230203
-4.86522581,-0.71230203
-4.86394581,-0.71230203
