Time,Channel A
(ms),(V)

-5.00268396,-∞
-5.00140396,-∞
-5.00012396,-∞
-4.99884396,-∞
-4.99756396,-∞
-4.99628396,-∞
-4.99500396,-∞
-4.99372396,-∞
-4.99244396,-∞
-4.99116396,-∞
-4.98988396,-∞
-4.98860396,-∞
-4.98732396,-∞
-4.98604396,-∞
-4.98476396,-∞
-4.98348396,-∞
-4.98220396,-∞
-4.98092396,-∞
-4.97964396,-∞
-4.97836396,-∞
-4.97708396,-∞
-4.97580396,-∞
-4.97452396,-∞
-4.97324396,-∞
-4.97196396,-∞
-4.97068396,-∞
-4.96940396,-∞
-4.96812396,-∞
-4.96684396,-∞
-4.96556396,-∞
-4.96428396,-∞
-4.96300396,-∞
-4.96172396,-∞
-4.96044396,-∞
-4.95916396,-∞
-4.95788396,-∞
-4.95660396,-∞
-4.95532396,-∞
-4.95404396,-∞
-4.95276396,-∞
-4.95148396,-∞
-4.95020396,-∞
-4.94892396,-∞
-4.94764396,-∞
-4.94636396,-∞
-4.94508396,-∞
-4.94380396,-∞
-4.94252396,-∞
-4.94124396,-∞
-4.93996396,-∞
-4.93868396,-∞
-4.93740396,-∞
-4.93612396,-∞
-4.93484396,-∞
-4.93356396,-∞
-4.93228396,-∞
-4.93100396,-∞
-4.92972396,-∞
-4.92844396,-∞
-4.92716396,-∞
-4.92588396,-∞
-4.92460396,-∞
-4.92332396,-∞
-4.92204396,-∞
-4.92076396,-∞
-4.91948396,-∞
-4.91820396,-∞
-4.91692396,-∞
-4.91564396,-∞
-4.91436396,-∞
-4.91308396,-∞
-4.91180396,-∞
-4.91052396,-∞
-4.90924396,-∞
-4.90796396,-∞
-4.90668396,-∞
-4.90540396,-∞
-4.90412396,-∞
-4.90284396,-∞
-4.90156396,-∞
-4.90028396,-∞
-4.89900396,-∞
-4.89772396,-∞
-4.89644396,-∞
-4.89516396,-∞
-4.89388396,-∞
-4.89260396,-∞
-4.89132396,-∞
-4.89004396,-∞
-4.88876396,-∞
-4.88748396,-∞
-4.88620396,-∞
-4.88492396,-∞
-4.88364396,-∞
-4.88236396,-∞
-4.88108396,-∞
-4.87980396,-∞
-4.87852396,-∞
-4.87724396,-∞
-4.87596396,-∞
-4.87468396,-∞
-4.87340396,-∞
-4.87212396,-∞
-4.87084396,-∞
-4.86956396,-∞
-4.86828396,-∞
-4.86700396,-∞
-4.86572396,-∞
-4.86444396,-∞
-4.86316396,-∞
-4.86188396,-∞
-4.86060396,-∞
-4.85932396,-∞
-4.85804396,-∞
-4.85676396,-∞
-4.85548396,-∞
-4.85420396,-∞
-4.85292396,-∞
-4.85164396,-∞
-4.85036396,-∞
-4.84908396,-∞
-4.84780396,-∞
-4.84652396,-∞
-4.84524396,-∞
-4.84396396,-∞
-4.84268396,-∞
-4.84140396,-∞
-4.84012396,-∞
-4.83884396,-∞
-4.83756396,-∞
-4.83628396,-∞
-4.83500396,-∞
-4.83372396,-∞
-4.83244396,-∞
-4.83116396,-∞
-4.82988396,-∞
-4.82860396,-∞
-4.82732396,-∞
-4.82604396,-∞
-4.82476396,-∞
