Time,Channel A
(ms),(V)

-5.00227604,-∞
-5.00099604,-∞
-4.99971604,-∞
-4.99843604,-∞
-4.99715604,-∞
-4.99587604,-∞
-4.99459604,-∞
-4.99331604,-∞
-4.99203604,-∞
-4.99075604,-∞
-4.98947604,-∞
-4.98819604,-∞
-4.98691604,-∞
-4.98563604,-∞
-4.98435604,-∞
-4.98307604,-∞
-4.98179604,-∞
-4.98051604,-∞
-4.97923604,-∞
-4.97795604,-∞
-4.97667604,-∞
-4.97539604,-∞
-4.97411604,-∞
-4.97283604,-∞
-4.97155604,-∞
-4.97027604,-∞
-4.96899604,-∞
-4.96771604,-∞
-4.96643604,-∞
-4.96515604,-∞
-4.96387604,-∞
-4.96259604,-∞
-4.96131604,-∞
-4.96003604,-∞
-4.95875604,-∞
-4.95747604,-∞
-4.95619604,-∞
-4.95491604,-∞
-4.95363604,-∞
-4.95235604,-∞
-4.95107604,-∞
-4.94979604,-∞
-4.94851604,-∞
-4.94723604,-∞
-4.94595604,-∞
-4.94467604,-∞
-4.94339604,-∞
-4.94211604,-∞
-4.94083604,-∞
-4.93955604,-∞
-4.93827604,-∞
-4.93699604,-∞
-4.93571604,-∞
-4.93443604,-∞
-4.93315604,-∞
-4.93187604,-∞
-4.93059604,-∞
-4.92931604,-∞
-4.92803604,-∞
-4.92675604,-∞
-4.92547604,-∞
-4.92419604,-∞
-4.92291604,-∞
-4.92163604,-∞
-4.92035604,-∞
-4.91907604,-∞
-4.91779604,-∞
-4.91651604,-∞
-4.91523604,-∞
-4.91395604,-∞
-4.91267604,-∞
-4.91139604,-∞
-4.91011604,-∞
-4.90883604,-∞
-4.90755604,-∞
-4.90627604,-∞
-4.90499604,-∞
-4.90371604,-∞
-4.90243604,-∞
-4.90115604,-∞
-4.89987604,-∞
-4.89859604,-∞
-4.89731604,-∞
-4.89603604,-∞
-4.89475604,-∞
-4.89347604,-∞
-4.89219604,-∞
-4.89091604,-∞
-4.88963604,-∞
-4.88835604,-∞
-4.88707604,-∞
-4.88579604,-∞
-4.88451604,-∞
-4.88323604,-∞
-4.88195604,-∞
-4.88067604,-∞
-4.87939604,-∞
-4.87811604,-∞
-4.87683604,-∞
-4.87555604,-∞
-4.87427604,-∞
-4.87299604,-∞
-4.87171604,-∞
-4.87043604,-∞
-4.86915604,-∞
-4.86787604,-∞
-4.86659604,-∞
-4.86531604,-∞
-4.86403604,-∞
-4.86275604,-∞
-4.86147604,-∞
-4.86019604,-∞
-4.85891604,-∞
-4.85763604,-∞
-4.85635604,-∞
-4.85507604,-∞
-4.85379604,-∞
-4.85251604,-∞
-4.85123604,-∞
-4.84995604,-∞
-4.84867604,-∞
-4.84739604,-∞
-4.84611604,-∞
-4.84483604,-∞
-4.84355604,-∞
-4.84227604,-∞
-4.84099604,-∞
-4.83971604,-∞
-4.83843604,-∞
-4.83715604,-∞
-4.83587604,-∞
-4.83459604,-∞
-4.83331604,-∞
-4.83203604,-∞
-4.83075604,-∞
-4.82947604,-∞
-4.82819604,-∞
-4.82691604,-∞
-4.82563604,-∞
-4.82435604,-∞
