Time,Channel A
(ms),(V)

-5.00336802,2.94137383
-5.00208802,2.94137383
-5.00080802,2.94137383
-4.99952802,2.94137383
-4.99824802,2.94137383
-4.99696802,2.94137383
-4.99568802,2.94137383
-4.99440802,2.94137383
-4.99312802,2.94137383
-4.99184802,3.03048801
-4.99056802,2.94137383
-4.98928802,2.94137383
-4.98800802,2.94137383
-4.98672802,2.94137383
-4.98544802,2.94137383
-4.98416802,2.94137383
-4.98288802,2.94137383
-4.98160802,2.94137383
-4.98032802,2.94137383
-4.97904802,2.94137383
-4.97776802,2.94137383
-4.97648802,2.94137383
-4.97520802,2.94137383
-4.97392802,2.94137383
-4.97264802,2.94137383
-4.97136802,3.03048801
-4.97008802,2.94137383
-4.96880802,2.94137383
-4.96752802,2.94137383
-4.96624802,2.94137383
-4.96496802,2.94137383
-4.96368802,2.94137383
-4.96240802,3.03048801
-4.96112802,2.94137383
-4.95984802,2.94137383
-4.95856802,2.94137383
-4.95728802,2.94137383
-4.95600802,2.94137383
-4.95472802,2.94137383
-4.95344802,2.94137383
-4.95216802,3.03048801
-4.95088802,2.94137383
-4.94960802,2.94137383
-4.94832802,3.03048801
-4.94704802,3.03048801
-4.94576802,2.94137383
-4.94448802,2.94137383
-4.94320802,2.94137383
-4.94192802,2.94137383
-4.94064802,2.94137383
-4.93936802,2.94137383
-4.93808802,2.94137383
-4.93680802,2.94137383
-4.93552802,2.94137383
-4.93424802,2.94137383
-4.93296802,3.03048801
-4.93168802,3.03048801
-4.93040802,2.94137383
-4.92912802,3.03048801
-4.92784802,2.94137383
-4.92656802,2.94137383
-4.92528802,2.94137383
-4.92400802,2.94137383
-4.92272802,2.94137383
-4.92144802,2.94137383
-4.92016802,2.94137383
-4.91888802,2.94137383
-4.91760802,2.94137383
-4.91632802,2.94137383
-4.91504802,2.94137383
-4.91376802,2.94137383
-4.91248802,2.94137383
-4.91120802,2.94137383
-4.90992802,2.94137383
-4.90864802,2.94137383
-4.90736802,2.94137383
-4.90608802,2.94137383
-4.90480802,2.94137383
-4.90352802,2.94137383
-4.90224802,2.94137383
-4.90096802,2.94137383
-4.89968802,2.94137383
-4.89840802,2.94137383
-4.89712802,2.94137383
-4.89584802,2.94137383
-4.89456802,2.94137383
-4.89328802,3.03048801
-4.89200802,3.03048801
-4.89072802,2.94137383
-4.88944802,2.94137383
-4.88816802,2.94137383
-4.88688802,2.94137383
-4.88560802,2.94137383
-4.88432802,2.94137383
-4.88304802,2.94137383
-4.88176802,2.94137383
-4.88048802,2.94137383
-4.87920802,2.94137383
-4.87792802,2.94137383
-4.87664802,2.94137383
-4.87536802,2.94137383
-4.87408802,3.03048801
-4.87280802,2.94137383
-4.87152802,3.03048801
-4.87024802,2.94137383
-4.86896802,2.94137383
-4.86768802,2.94137383
-4.86640802,2.94137383
-4.86512802,2.94137383
-4.86384802,2.94137383
-4.86256802,2.94137383
-4.86128802,2.94137383
-4.86000802,2.94137383
-4.85872802,2.94137383
-4.85744802,2.94137383
-4.85616802,2.94137383
-4.85488802,2.94137383
-4.85360802,2.94137383
