Time,Channel A
(ms),(V)

-5.00320084,-∞
-5.00192084,-∞
-5.00064084,-∞
-4.99936084,-∞
-4.99808084,-∞
-4.99680084,-∞
-4.99552084,-∞
-4.99424084,-∞
-4.99296084,-∞
-4.99168084,-∞
-4.99040084,-∞
-4.98912084,-∞
-4.98784084,-∞
-4.98656084,-∞
-4.98528084,-∞
-4.98400084,-∞
-4.98272084,-∞
-4.98144084,-∞
-4.98016084,-∞
-4.97888084,-∞
-4.97760084,-∞
-4.97632084,-∞
-4.97504084,-∞
-4.97376084,-∞
-4.97248084,-∞
-4.97120084,-∞
-4.96992084,-∞
-4.96864084,-∞
-4.96736084,-∞
-4.96608084,-∞
-4.96480084,-∞
-4.96352084,-∞
-4.96224084,-∞
-4.96096084,-∞
-4.95968084,-∞
-4.95840084,-∞
-4.95712084,-∞
-4.95584084,-∞
-4.95456084,-∞
-4.95328084,-∞
-4.95200084,-∞
-4.95072084,-∞
-4.94944084,-∞
-4.94816084,-∞
-4.94688084,-∞
-4.94560084,-∞
-4.94432084,-∞
-4.94304084,-∞
-4.94176084,-∞
-4.94048084,-∞
-4.93920084,-∞
-4.93792084,-∞
-4.93664084,-∞
-4.93536084,-∞
-4.93408084,-∞
-4.93280084,-∞
-4.93152084,-∞
-4.93024084,-∞
-4.92896084,-∞
-4.92768084,-∞
-4.92640084,-∞
-4.92512084,-∞
-4.92384084,-∞
-4.92256084,-∞
-4.92128084,-∞
-4.92000084,-∞
-4.91872084,-∞
-4.91744084,-∞
-4.91616084,-∞
-4.91488084,-∞
-4.91360084,-∞
-4.91232084,-∞
-4.91104084,-∞
-4.90976084,-∞
-4.90848084,-∞
-4.90720084,-∞
-4.90592084,-∞
-4.90464084,-∞
-4.90336084,-∞
-4.90208084,-∞
-4.90080084,-∞
-4.89952084,-∞
-4.89824084,-∞
-4.89696084,-∞
-4.89568084,-∞
-4.89440084,-∞
-4.89312084,-∞
-4.89184084,-∞
-4.89056084,-∞
-4.88928084,-∞
-4.88800084,-∞
-4.88672084,-∞
-4.88544084,-∞
-4.88416084,-∞
-4.88288084,-∞
-4.88160084,-∞
-4.88032084,-∞
-4.87904084,-∞
-4.87776084,-∞
-4.87648084,-∞
-4.87520084,-∞
-4.87392084,-∞
-4.87264084,-∞
-4.87136084,-∞
-4.87008084,-∞
-4.86880084,-∞
-4.86752084,-∞
-4.86624084,-∞
-4.86496084,-∞
-4.86368084,-∞
-4.86240084,-∞
-4.86112084,-∞
-4.85984084,-∞
-4.85856084,-∞
-4.85728084,-∞
-4.85600084,-∞
-4.85472084,-∞
-4.85344084,-∞
-4.85216084,-∞
-4.85088084,-∞
-4.84960084,-∞
-4.84832084,-∞
-4.84704084,-∞
-4.84576084,-∞
-4.84448084,-∞
-4.84320084,-∞
-4.84192084,-∞
-4.84064084,-∞
-4.83936084,-∞
-4.83808084,-∞
-4.83680084,-∞
-4.83552084,-∞
-4.83424084,-∞
-4.83296084,-∞
-4.83168084,-∞
-4.83040084,-∞
-4.82912084,-∞
-4.82784084,-∞
-4.82656085,-∞
-4.82528085,-∞
