Time,Channel A
(ms),(V)

-5.00245113,-∞
-5.00117113,-∞
-4.99989113,-∞
-4.99861113,-∞
-4.99733113,-∞
-4.99605113,-∞
-4.99477113,-∞
-4.99349113,-∞
-4.99221113,-∞
-4.99093113,-∞
-4.98965113,-∞
-4.98837113,-∞
-4.98709113,-∞
-4.98581113,-∞
-4.98453113,-∞
-4.98325113,-∞
-4.98197113,-∞
-4.98069113,-∞
-4.97941113,-∞
-4.97813113,-∞
-4.97685113,-∞
-4.97557113,-∞
-4.97429113,-∞
-4.97301113,-∞
-4.97173113,-∞
-4.97045113,-∞
-4.96917113,-∞
-4.96789113,-∞
-4.96661113,-∞
-4.96533113,-∞
-4.96405113,-∞
-4.96277113,-∞
-4.96149113,-∞
-4.96021113,-∞
-4.95893113,-∞
-4.95765113,-∞
-4.95637113,-∞
-4.95509113,-∞
-4.95381113,-∞
-4.95253113,-∞
-4.95125113,-∞
-4.94997113,-∞
-4.94869113,-∞
-4.94741113,-∞
-4.94613113,-∞
-4.94485113,-∞
-4.94357113,-∞
-4.94229113,-∞
-4.94101113,-∞
-4.93973113,-∞
-4.93845113,-∞
-4.93717113,-∞
-4.93589113,-∞
-4.93461113,-∞
-4.93333113,-∞
-4.93205113,-∞
-4.93077113,-∞
-4.92949113,-∞
-4.92821113,-∞
-4.92693113,-∞
-4.92565113,-∞
-4.92437113,-∞
-4.92309113,-∞
-4.92181113,-∞
-4.92053113,-∞
-4.91925113,-∞
-4.91797113,-∞
-4.91669113,-∞
-4.91541113,-∞
-4.91413113,-∞
-4.91285113,-∞
-4.91157113,-∞
-4.91029113,-∞
-4.90901113,-∞
-4.90773113,-∞
-4.90645113,-∞
-4.90517113,-∞
-4.90389113,-∞
-4.90261113,-∞
-4.90133113,-∞
-4.90005113,-∞
-4.89877113,-∞
-4.89749113,-∞
-4.89621113,-∞
-4.89493113,-∞
-4.89365113,-∞
-4.89237113,-∞
-4.89109113,-∞
-4.88981113,-∞
-4.88853113,-∞
-4.88725113,-∞
-4.88597113,-∞
-4.88469113,-∞
-4.88341113,-∞
-4.88213113,-∞
-4.88085113,-∞
-4.87957113,-∞
-4.87829113,-∞
-4.87701113,-∞
-4.87573113,-∞
-4.87445113,-∞
-4.87317113,-∞
-4.87189113,-∞
-4.87061113,-∞
-4.86933113,-∞
-4.86805113,-∞
-4.86677113,-∞
-4.86549113,-∞
-4.86421113,-∞
-4.86293113,-∞
-4.86165113,-∞
-4.86037113,-∞
-4.85909113,-∞
-4.85781113,-∞
-4.85653113,-∞
-4.85525113,-∞
-4.85397113,-∞
-4.85269113,-∞
-4.85141113,-∞
-4.85013113,-∞
-4.84885113,-∞
-4.84757113,-∞
-4.84629113,-∞
-4.84501113,-∞
-4.84373113,-∞
-4.84245113,-∞
-4.84117113,-∞
-4.83989113,-∞
-4.83861113,-∞
-4.83733113,-∞
-4.83605113,-∞
-4.83477113,-∞
-4.83349113,-∞
-4.83221113,-∞
-4.83093113,-∞
-4.82965113,-∞
-4.82837113,-∞
-4.82709113,-∞
-4.82581113,-∞
-4.82453113,-∞
